Seq    Abrevation    Ref       
  139  ROE14d        Roederer_et_al.(2014d)   
  140  ROE14e        Roederer_et_al.(2014e)   
  141  ROE16a        Roederer(2016a)   
  142  ROE16b        Roederer_et_al.(2016b)   
  143  RUC11         Ruchti_et_al.(2011)  
  144  RYA91         Ryan_&_Norris(1991)  
  145  RYA96         Ryan_et_al.(1996)  
  146  SAI09         Saito_et_al.(2009)  
  147  SCH07         Schuler_et_al.(2007)  
  148  SHE01         Shetrone_et_al.(2001)  
  149  SHE03         Shetrone_et_al.(2003)  
  150  SIM10         Simon_et_al.(2010)  
  151  SIQ12         SiqueiraMello_et_al.(2012)  
  152  SIQ14         SiqueiraMello_et_al.(2014)  
  153  SIV04         Sivarani_et_al.(2004)  
  154  SIV06         Sivarani_et_al.(2006)  
  155  SKU15         Skuladottir_et_al.(2015a)  
  156  SMI09         Smiljanic_et_al.(2009)  
  157  SNE03         Sneden_et_al.(2003)  
  158  SNE16         Sneden_et_al.(2016)  
  159  SPI00         Spite_et_al.(2000)  
  160  SPI11         Spite_et_al.(2011)  
  161  SPI12         Spite_et_al.(2012)  
  162  SPI13         Spite_et_al.(2013)  
  163  SPI14         Spite_et_al.(2014)  
  164  SUS16         Susmitha_Rani_et_al.(2016)  
  165  TAK11         Takeda_et_al.(2011)  
  166  TAN09         Tan_et_al.(2009)  
  167  WES00         Westin_et_al.(2000)  
  168  YON13         Yong_et_al.(2013)  
  169  ZAC98         Zacs_et_al.(1998)  
  170  ZHA09         Zhang_et_al.(2009)  
