Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)=12.000 140 points
 0.6904451  3.7582 -0.3402  4.6021  5.775 -0.218  0.528  0.348  0.715  1.169  1.529  1.594  1.662  2.088  9.4019E+00  9.7849E+00  8.8681E+00
 0.6950505  3.7603 -0.3194  4.5925  5.721 -0.223  0.520  0.344  0.706  1.158  1.515  1.579  1.645  2.065  9.3519E+00  9.5793E+00  8.5853E+00
 0.6997970  3.7623 -0.2975  4.5816  5.664 -0.227  0.513  0.340  0.699  1.149  1.502  1.565  1.630  2.046  1.0056E+01  1.0134E+01  8.9785E+00
 0.7051066  3.7642 -0.2753  4.5703  5.607 -0.231  0.507  0.336  0.692  1.140  1.492  1.553  1.617  2.030  1.0714E+01  1.0611E+01  9.2876E+00
 0.7105114  3.7660 -0.2525  4.5580  5.549 -0.233  0.501  0.333  0.685  1.133  1.482  1.543  1.605  2.015  1.0638E+01  1.0350E+01  8.9471E+00
 0.7157443  3.7679 -0.2300  4.5463  5.491 -0.236  0.495  0.329  0.677  1.125  1.472  1.532  1.594  2.000  1.0430E+01  9.9732E+00  8.5168E+00
 0.7209412  3.7697 -0.2071  4.5337  5.432 -0.237  0.489  0.325  0.671  1.118  1.463  1.522  1.582  1.986  1.0436E+01  9.8098E+00  8.2775E+00
 0.7261798  3.7715 -0.1836  4.5206  5.372 -0.238  0.484  0.322  0.664  1.111  1.453  1.512  1.571  1.971  1.0439E+01  9.6485E+00  8.0451E+00
 0.7313806  3.7732 -0.1599  4.5068  5.311 -0.239  0.479  0.318  0.657  1.104  1.444  1.502  1.560  1.957  1.0331E+01  9.3901E+00  7.7382E+00
 0.7365112  3.7749 -0.1359  4.4926  5.249 -0.240  0.474  0.315  0.651  1.096  1.434  1.492  1.548  1.942  1.0139E+01  9.0659E+00  7.3855E+00
 0.7415201  3.7766 -0.1119  4.4783  5.187 -0.240  0.469  0.312  0.644  1.088  1.423  1.481  1.536  1.927  9.9892E+00  8.7897E+00  7.0805E+00
 0.7465004  3.7783 -0.0874  4.4636  5.124 -0.240  0.464  0.309  0.638  1.079  1.411  1.468  1.522  1.909  9.8548E+00  8.5367E+00  6.8014E+00
 0.7513749  3.7800 -0.0628  4.4486  5.060 -0.239  0.460  0.305  0.631  1.069  1.398  1.454  1.507  1.890  9.7342E+00  8.3036E+00  6.5447E+00
 0.7562346  3.7816 -0.0376  4.4326  4.994 -0.238  0.456  0.303  0.625  1.060  1.385  1.441  1.492  1.871  9.6136E+00  8.0780E+00  6.2998E+00
 0.7609885  3.7832 -0.0122  4.4163  4.927 -0.237  0.452  0.300  0.619  1.049  1.372  1.426  1.476  1.851  9.4480E+00  7.8225E+00  6.0377E+00
 0.7656826  3.7847  0.0137  4.3991  4.859 -0.235  0.448  0.297  0.613  1.039  1.358  1.411  1.460  1.831  9.2824E+00  7.5754E+00  5.7880E+00
 0.7702709  3.7862  0.0398  4.3816  4.791 -0.233  0.444  0.294  0.608  1.028  1.344  1.396  1.444  1.811  9.2051E+00  7.4068E+00  5.6033E+00
 0.7748877  3.7876  0.0669  4.3627  4.720 -0.231  0.441  0.292  0.602  1.017  1.330  1.382  1.429  1.791  9.0745E+00  7.2009E+00  5.3946E+00
 0.7793454  3.7890  0.0942  4.3435  4.648 -0.228  0.437  0.289  0.597  1.007  1.316  1.367  1.413  1.771  8.9640E+00  7.0169E+00  5.2067E+00
 0.7838517  3.7902  0.1228  4.3222  4.574 -0.226  0.434  0.287  0.592  0.997  1.304  1.354  1.399  1.753  8.8770E+00  6.8562E+00  5.0398E+00
 0.7882224  3.7914  0.1514  4.3008  4.499 -0.223  0.431  0.285  0.588  0.988  1.291  1.341  1.385  1.736  8.7391E+00  6.6614E+00  4.8515E+00
 0.7925908  3.7926  0.1808  4.2786  4.423 -0.220  0.428  0.282  0.583  0.979  1.279  1.328  1.371  1.718  8.8442E+00  6.6540E+00  4.8018E+00
 0.7970666  3.7935  0.2120  4.2534  4.342 -0.218  0.426  0.281  0.579  0.971  1.270  1.318  1.360  1.704  9.0052E+00  6.6863E+00  4.7807E+00
 0.8015960  3.7943  0.2440  4.2271  4.260 -0.215  0.424  0.279  0.576  0.965  1.261  1.309  1.351  1.692  9.0358E+00  6.6207E+00  4.6899E+00
 0.8061024  3.7951  0.2760  4.2007  4.178 -0.213  0.421  0.278  0.573  0.959  1.253  1.300  1.341  1.680  9.1182E+00  6.5930E+00  4.6270E+00
 0.8107142  3.7954  0.3115  4.1689  4.088 -0.210  0.420  0.277  0.571  0.956  1.249  1.296  1.337  1.675  8.9571E+00  6.3920E+00  4.4447E+00
 0.8150595  3.7951  0.3471  4.1344  3.999 -0.208  0.420  0.277  0.572  0.958  1.251  1.299  1.340  1.678  8.1066E+00  5.7141E+00  3.9391E+00
 0.8188208  3.7944  0.3802  4.1005  3.917 -0.206  0.421  0.278  0.574  0.962  1.257  1.305  1.347  1.687  6.7276E+00  4.6918E+00  3.2102E+00
 0.8217871  3.7930  0.4089  4.0678  3.847 -0.206  0.424  0.281  0.579  0.972  1.270  1.319  1.362  1.706  5.4744E+00  3.7846E+00  2.5736E+00
 0.8242952  3.7911  0.4352  4.0352  3.785 -0.206  0.428  0.284  0.586  0.986  1.288  1.339  1.383  1.733  4.6189E+00  3.1702E+00  2.1449E+00
 0.8264060  3.7888  0.4592  4.0031  3.729 -0.207  0.432  0.288  0.594  1.003  1.311  1.362  1.409  1.766  3.8785E+00  2.6460E+00  1.7826E+00
 0.8281737  3.7860  0.4810  3.9710  3.681 -0.209  0.438  0.293  0.604  1.024  1.337  1.391  1.440  1.805  3.2801E+00  2.2264E+00  1.4946E+00
 0.8296861  3.7828  0.5010  3.9390  3.637 -0.210  0.445  0.299  0.616  1.046  1.366  1.422  1.473  1.847  2.7459E+00  1.8558E+00  1.2421E+00
 0.8309196  3.7795  0.5182  3.9093  3.600 -0.211  0.453  0.305  0.628  1.067  1.393  1.451  1.504  1.887  2.2627E+00  1.5239E+00  1.0174E+00
 0.8319488  3.7761  0.5334  3.8810  3.567 -0.211  0.461  0.311  0.641  1.085  1.418  1.477  1.533  1.923  1.8854E+00  1.2660E+00  8.4353E-01
 0.8328050  3.7726  0.5464  3.8545  3.539 -0.210  0.470  0.318  0.654  1.102  1.440  1.500  1.558  1.955  1.6295E+00  1.0915E+00  7.2597E-01
 0.8335783  3.7690  0.5586  3.8283  3.512 -0.209  0.479  0.325  0.668  1.117  1.460  1.521  1.581  1.984  1.4705E+00  9.8284E-01  6.5270E-01
